token_urn	surface_form	normalized_form	reason
// The pound sign "	" is used as a column divider.	" is used as a column divider.	no_match_in_morph_dict
	!cexversion	!cexversion	no_match_in_morph_dict
	!citelibrary	!citelibrary	no_match_in_morph_dict
name	Sophocles, Antigone	Sophocles, Antigone	no_match_in_morph_dict
urn	urn:cite2:furman:cex.2020:sophocles	urn:cite2:furman:cex.2020:sophocles	no_match_in_morph_dict
license	Creative Commons Attribution Share Alike	Creative Commons Attribution Share Alike	no_match_in_morph_dict
	!ctscatalog	!ctscatalog	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp.token:	line/speech/speaker/token,line/speech/text/token	line/speech/speaker/token,line/speech/text/token	no_match_in_morph_dict
urn	citationScheme	citationScheme	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp::	line/speaker,line/speech	line/speaker,line/speech	no_match_in_morph_dict
	!ctsdata	!ctsdata	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:1.1.speaker.token.1	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:1.1.text.token.4	Ἰσμήνης	Ἰσμήνης	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:2.1.speaker.token.1	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:3.1.speaker.token.1	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:4.1.speaker.token.1	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:5.1.speaker.token.1	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:6.1.speaker.token.1	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:7.1.speaker.token.1	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:8.1.speaker.token.1	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:9.1.speaker.token.1	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:10.1.speaker.token.1	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:11.1.speaker.token.1	Ἰσμήνη	Ἰσμήνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:11.1.text.token.6	Ἀντιγόνη	Ἀντιγόνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:12.1.speaker.token.1	Ἰσμήνη	Ἰσμήνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:13.1.speaker.token.1	Ἰσμήνη	Ἰσμήνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:14.1.speaker.token.1	Ἰσμήνη	Ἰσμήνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:14.1.text.token.2	θανόντοιν	θανόντοιν	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:15.1.speaker.token.1	Ἰσμήνη	Ἰσμήνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:16.1.speaker.token.1	Ἰσμήνη	Ἰσμήνη	no_match_in_morph_dict
urn:cts:greekLit:tlg0011.tlg002.fu.sp:17.1.speaker.token.1	Ἰσμήνη	Ἰσμήνη	no_match_in_morph_dict
